yidF	EG11694
purD	EG10792
yjdJ	G7829
guaB	EG10421
yicR	EG11312
purT	EG11809
yhbW	G7654
purN	EG10799
yggS	G7527
purK	EG10796
ygdQ	G7460
purE	EG10793
yfgJ	G7318
purA	EG10790
elaA	G7174
purL	EG10797
yecT	G7026
metJ	EG10588
yniA	G6930
metC	EG10583
digH	G6785
bisC	EG10124
ycjX	G6659
metR	EG10591
yccM	G6513
metE	EG10584
ylbE	G6288
metA	EG10581
yafL	G6111
mmuP	G6135
ysdE	G0-17044
metH	EG10587
evgL	G0-17027
mmuM	G6136
yjdN	EG10712
tdcC	EG10991
ysdD	G0-16751
rhtC	EG11468
ymgL	G0-16734
thrB	EG10999
ymiB	G0-16673
thrC	EG11000
yojO	G0-10595
ldrB	G0-9605
lysR	EG10551
ymjC	G0-10446
ratA	G7358
dapF	EG10209
ychN	EG12404
ldrD	G0-9041
dapB	EG10206
yhhM	EG12213
yafQ	G6109
lysA	EG10549
yiiR	EG11875
mokC	EG10373
dapD	EG10207
yjjV	G7952
ldrC	G0-9607
dapE	EG10208
slyX	EG11664
hokC	G0-9563
dapA	EG10205
yrhB	G7763
dinJ	G6110
lysP	EG11337
tdcF	G7626
hokB	G0-9610
asnA	EG10091
ygfF	G7514
ldrA	G0-9602
ansP	G6764
ygcG	G7444
hlyE	G6619
asnC	EG10093
ypeA	G7269
hokA	G0-9613
aspA	EG10095
yegX	G7134
pmrD	G7172
proA	EG10767
yebV	G7009
ampH	EG12867
proB	EG10768
ydhY	G6902
tehB	EG11884
proC	EG10769
yncH	G6766
fau	EG11158
argH	EG11223
yciQ	G6636
yqiA	G7578
argT	EG10072
yccU	G6499
yahD	G6183
argG	EG10068
yaiZ	G6229
yqiI	G7587
argC	EG10065
yafS	G6100
pxpA	G6382
argE	EG11286
yibX	G0-17041
yeiG	EG12026
carA	EG10134
yecV	G0-17024
frmB	G6208
argI	EG10069
creD	EG10145
dtd	EG11852
argD	EG10066
yqfI	G0-16748
paoC	G6155
artJ	EG11628
yliM	G0-16731
yieF	EG11723
argA	EG10063
azuC	G0-10653
katE	EG10509
artP	EG11624
ymgI	G0-10589
sodC	G6886
carB	EG10135
ybaE	EG13217
ybiA	EG11579
argR	EG10070
yadS	EG12333
bcp	EG10108
argF	EG10067
yaeF	EG12138
ahpF	EG11385
yahI	G6188
yceI	EG11820
cyuA	G7622
argB	EG10064
